소속팀,년,월,인원수,활동횟수,근무일수
B/H사업팀,2025,6,7,3125,19
B/H사업팀,2025,7,7,3230,20
B/H사업팀,2025,8,7,2569,16
BI지원팀,2025,6,2,358,21
BI지원팀,2025,7,2,387,19
BI지원팀,2025,8,2,306,16
Brake설계팀,2025,6,8,2590,30
Brake설계팀,2025,7,8,2347,31
Brake설계팀,2025,8,9,1980,26
CMB영업팀,2025,6,6,1551,20
CMB영업팀,2025,7,6,1542,19
CMB영업팀,2025,8,6,1261,17
DI팀,2025,6,4,1346,19
DI팀,2025,7,4,1433,20
DI팀,2025,8,4,1270,17
Defense사업팀,2025,6,10,3433,20
Defense사업팀,2025,7,10,3489,28
Defense사업팀,2025,8,11,2866,20
Defense생산팀,2025,6,4,1079,21
Defense생산팀,2025,7,4,1063,24
Defense생산팀,2025,8,4,670,17
ER팀,2025,6,3,993,20
ER팀,2025,7,3,1094,20
ER팀,2025,8,3,919,19
ESG팀,2025,6,2,738,22
ESG팀,2025,7,2,649,21
ESG팀,2025,8,2,550,16
Energy사업팀,2025,6,4,1112,19
Energy사업팀,2025,7,4,1309,20
Energy사업팀,2025,8,4,734,15
FL개발팀,2025,6,14,4266,28
FL개발팀,2025,7,15,3189,24
FL개발팀,2025,8,15,2670,16
FL기술지원팀,2025,6,6,1517,23
FL기술지원팀,2025,7,6,1373,20
FL기술지원팀,2025,8,6,1225,16
FL사업지원실,2025,6,1,395,18
FL사업지원실,2025,7,1,321,19
FL사업지원실,2025,8,1,368,16
FL생산기술팀,2025,6,8,2871,23
FL생산기술팀,2025,7,8,2938,23
FL생산기술팀,2025,8,8,2599,17
FL영업팀,2025,6,13,4826,23
FL영업팀,2025,7,13,3253,24
FL영업팀,2025,8,12,2430,19
FL재료팀,2025,6,3,998,19
FL재료팀,2025,7,3,875,22
FL재료팀,2025,8,4,613,16
FL품질보증팀,2025,6,12,4161,28
FL품질보증팀,2025,7,13,3363,24
FL품질보증팀,2025,8,12,2821,18
GS팀,2025,6,7,1819,19
GS팀,2025,7,7,2078,24
GS팀,2025,8,7,1585,17
HR팀,2025,6,5,1987,21
HR팀,2025,7,5,2200,22
HR팀,2025,8,5,1933,19
IFS사업팀,2025,6,8,1434,19
IFS사업팀,2025,7,8,1731,24
IFS사업팀,2025,8,8,1277,17
IT 1팀,2025,6,18,5615,30
IT 1팀,2025,7,18,6864,31
IT 1팀,2025,8,18,4450,26
IT 2팀,2025,6,6,1184,19
IT 2팀,2025,7,7,1401,23
IT 2팀,2025,8,8,1237,17
ME사업팀,2025,6,8,2604,21
ME사업팀,2025,7,8,2503,25
ME사업팀,2025,8,8,2133,17
Marketing팀,2025,6,1,315,19
Marketing팀,2025,7,1,310,20
Marketing팀,2025,8,1,235,16
PEOPLE팀,2025,6,9,1886,30
PEOPLE팀,2025,7,9,2417,31
PEOPLE팀,2025,8,9,2069,26
PI팀,2025,6,6,1662,28
PI팀,2025,7,6,2369,28
PI팀,2025,8,6,1302,22
SCM팀,2025,6,13,4637,23
SCM팀,2025,7,14,4970,28
SCM팀,2025,8,12,3668,20
SL개발팀,2025,6,7,2088,19
SL개발팀,2025,7,7,2148,21
SL개발팀,2025,8,8,1883,17
SL구매팀,2025,6,8,3157,25
SL구매팀,2025,7,8,2957,19
SL구매팀,2025,8,8,2554,22
SL기술지원팀,2025,6,4,1017,21
SL기술지원팀,2025,7,5,1340,21
SL기술지원팀,2025,8,6,1092,16
SL상생협력팀,2025,6,6,1829,20
SL상생협력팀,2025,7,5,1777,20
SL상생협력팀,2025,8,5,1410,17
SL생산기술팀,2025,6,10,2409,30
SL생산기술팀,2025,7,10,2574,31
SL생산기술팀,2025,8,9,1990,22
SL생산팀,2025,6,7,1839,21
SL생산팀,2025,7,7,2041,21
SL생산팀,2025,8,7,1677,17
SL설계팀,2025,6,11,2712,30
SL설계팀,2025,7,13,3362,29
SL설계팀,2025,8,10,1763,25
SL영업팀,2025,6,6,2049,26
SL영업팀,2025,7,6,1657,30
SL영업팀,2025,8,6,1225,23
SL운영팀,2025,6,8,2615,23
SL운영팀,2025,7,7,2153,21
SL운영팀,2025,8,7,1980,17
SL재료팀,2025,6,3,1048,20
SL재료팀,2025,7,3,1152,19
SL재료팀,2025,8,5,1075,16
SL품질보증팀,2025,6,15,3203,24
SL품질보증팀,2025,7,15,3377,22
SL품질보증팀,2025,8,15,2826,21
TPE개발팀,2025,6,7,2108,23
TPE개발팀,2025,7,7,2123,21
